text,category
СНОВА КОНСУЛЬТАЦИЯ,Подработка
500 АВТОШКОЛА,Учёба
оплата платье,Одежда
электричество!,ЖКХ и аренда
ТУР СЕГОДНЯ,Путешествия
снова тройка,Транспорт
летуаль за 1500,Косметика
обувь за 500,Одежда
аптека аз 250,Здоровье
100 ПОДАРОЧНАЯ КАРТА,Подарки
спотфиай сегодня,Подписки
вкусвилл за 100,Продукты
стоматолог сегодня,Здоровье
спортпит за 100,Спорт
1000 зарплата,Зарплата
эспрессо!,Кофейни
фикс прайс 75,Хозтовары
презент сеогдня,Подарки
оплата буст,Подписки
оплата бар,Развлечения
купли убер,Транспорт
спортпит за 75,Спорт
мазь за 120,Здоровье
кальян 120,Развлечения
купила аренда,ЖКХ и аренда
платье,Одежда
купил латте,Кофейни
500 театр,Развлечения
бассейн за 1500,Спорт
букте 250,Подарки
потратил на театр,Развлечения
снова столовая,Рестораны
990 выплата зарплаты,Зарплата
мазь 3000,Здоровье
тройка!,Транспорт
бельё 75,Одежда
оплата отель,Путешествия
оплата тариф,Связь
тренер!,Спорт
зп,Зарплата
купиал аэрофлот,Путешествия
бар 1500,Развлечения
ИКЕА СЕГОДНЯ,Хозтовары
спотифйа за 349,Подписки
бытовая химия 349,Хозтовары
45 ЗП,Зарплата
купила открытка,Подарки
боулинг,Развлечения
оплата футболка,Одежда
теле2,Связь
КУПИЛА ИВИ,Подписки
КУПИЛА ФОРТЕПИАНО,Учёба
магнит за 2000,Продукты
мазь сегодня,Здоровье
купил тсоловая,Рестораны
авиабилеты!,Путешествия
оплата халтура,Подработка
потртаил на подарки,Подарки
купил теле2,Связь
супермаркет 500,Продукты
купил кофе с собой,Кофейни
250 лампочка,Хозтовары
аптека 75,Здоровье
связь,Связь
ОНЛАЙН КУРС ЗА 250,Учёба
купил мобильная связь,Связь
серб 120,Учёба
абонемент 500,Спорт
купила пятёрочка,Продукты
3000 бра,Развлечения
заправка сегодня,Транспорт
990 кинпооиск,Подписки
купил бассейн,Спорт
349 отопление,ЖКХ и аренда
БЕЛКА!,Транспорт
купила вебинар,Учёба
купил саткан кофе,Кофейни
электричка,Транспорт
лэтуаль сегодня,Косметика
снова капли,Здоровье
поездка!,Транспорт
старбакс сегодня,Кофейни
оплата поездка в,Путешествия
купил аспортпит,Спорт
ОПЛАТА СЫВОРОТКА,Косметика
100 теннис,Спорт
потратил на лекция,Учёба
купила фриланс,Подработка
купил проект,Подработка
75 получка,Зарплата
СНОВА ЛЭТУАЛЬ,Косметика
чемодан за 2000,Путешествия
zara за 3000,Одежда
потратил на ужин,Рестораны
КОФЕ 45,Кофейни
купила аренда квартиры,ЖКХ и аренда
оплата зп,Зарплата
платье за 500,Одежда
оплата консультация,Подработка
оплата такси,Транспорт
кальян,Развлечения
творо!г,Продукты
ПОТРАТИЛ НА АТТРАКЦИОНЫ,Развлечения
гастрноом,Продукты
такси 75,Транспорт
бар!,Развлечения
протеин!,Спорт
100 йога,Спорт
тушь за 250,Косметика
снов апоел,Рестораны
макароны,Продукты
250 репетиторство доход,Подработка
мясо 1000,Продукты
потратил на квитанция,ЖКХ и аренда
снова поела,Рестораны
ФАСТФУД ЗА 120,Рестораны
купил подрабтока,Подработка
купил поездка,Транспорт
оклад 1000,Зарплата
ОПЛАТА YOTA,Связь
букет за 349,Подарки
проезд за 050,Транспорт
тушь сегодня,Косметика
75 учеба,Учёба
купил рубашка,Одежда
ОПЛАТА ФОРТПЕИАНО,Учёба
леруа!,Хозтовары
купила убер,Транспорт
75 пришла зарплата,Зарплата
маска для лица за 3000,Косметика
театр,Развлечения
потратил на додо,Рестораны
консультация!,Подработка
ахлтура сегодня,Подработка
СНОВА ЮТУБ ПРЕМИУМ,Подписки
репетиторство доход!,Подработка
оплата вода,Продукты
оплата букинг,Путешествия
100 жкх,ЖКХ и аренда
подарко маме,Подарки
леруа 250,Хозтовары
пришла зарплата,Зарплата
500 средство для мытья,Хозтовары
потратил на сотовая связь,Связь
зарплата сегодня,Зарплата
yota,Связь
ПОЛУЧКА СЕГОДНЯ,Зарплата
купила учёба,Учёба
СНОВА АНАЛИЗЫ,Здоровье
премия,Зарплата
скалодром,Спорт
оплата яблоки,Продукты
аренда квартиры за 1000,ЖКХ и аренда
500 секция,Спорт
нетфликс!,Подписки
купил вода счёт,ЖКХ и аренда
виза!,Путешествия
купила кино,Развлечения
купила отопление,ЖКХ и аренда
купил пятерочка,Продукты
оплата фастфуд,Рестораны
икеа,Хозтовары
гонорар сегодня,Подработка
коктейль 100,Развлечения
пришла зарплата сегодня,Зарплата
узи сегодня,Здоровье
потратил на подарок маме,Подарки
1500 медцентр,Здоровье
3000 теле2,Связь
билеты на концерт сегодня,Развлечения
75 мясо,Продукты
оплата кфс,Рестораны
купила отель,Путешествия
носки1 20,Одежда
купил проезд,Транспорт
бензин,Транспорт
снова приём врача,Здоровье
такси 120,Транспорт
КУПИЛ СЫР,Продукты
чемодан!,Путешествия
потратил на трансфер,Путешествия
подработка выплата,Подработка
аренда сегодня,ЖКХ и аренда
оплата авиабилеты,Путешествия
купил губки,Хозтовары
джинсы!,Одежда
потратил на получка,Зарплата
выставка,Развлечения
теле2 за 2000,Связь
оклад сегодня,Зарплата
гонорар,Подработка
БОУЛИНГ СЕГОДНЯ,Развлечения
КУПИЛА ПРИШЛА ЗАРПЛАТА,Зарплата
снова музей,Развлечения
снова салфетки,Хозтовары
фриланс за 2000,Подработка
сноав хлеб,Продукты
снова подарок,Подарки
ОПЛАТА МУСОРНЫЕ ПАКЕТЫ,Хозтовары
бронь отеля сегодня,Путешествия
купила электричка,Транспорт
бельё!,Одежда
нетфликс!,Подписки
ХОЗТОВАРЫ,Хозтовары
купила отель,Путешествия
снова зарплата,Зарплата
подарок другу!,Подарки
купила трамвай,Транспорт
потратил на поела,Рестораны
КУПИЛ РЕПЕТИТОРСТВО ДОХОД,Подработка
ПОТРАТИЛ НА СКУРАТОВ,Кофейни
купила вода счёт,ЖКХ и аренда
500 СВЯЗЬ,Связь
снова премия,Зарплата
кофе на вынос!,Кофейни
клуб 100,Развлечения
репетитор сегодня,Учёба
стакан кофе за 75,Кофейни
1500 штаны,Одежда
1500 клиника,Здоровье
цветы сегодня,Подарки
мазь з а75,Здоровье
КУПИЛА ЛЕКАРСТВА,Здоровье
оплата вода,Продукты
пополнение телефона,Связь
поездка в сегодня,Путешествия
ОПЛАТА СЫР,Продукты
ФАСТФУД!,Рестораны
мобильная связь за 500,Связь
открытка!,Подарки
опрошок!,Хозтовары
оплата тушь,Косметика
автошкола 349,Учёба
купил счёт за свет,ЖКХ и аренда
349 парковка,Транспорт
шампунь!,Косметика
подписка на приложение 349,Подписки
врач за 500,Здоровье
золотое яблоко,Косметика
купил спротзал,Спорт
снова лента,Продукты
снова симка,Связь
пеол 990,Рестораны
500 делимобиль,Транспорт
100 салфетки,Хозтовары
1500 ПОРОШОК,Хозтовары
снова рпишла зарплата,Зарплата
снова чемодан,Путешествия
снова круатов,Кофейни
додо,Рестораны
купила клаьян,Развлечения
снова бассейн,Спорт
снова учёба,Учёба
халтура 1000,Подработка
подписка вк!,Подписки
купила коктейль,Развлечения
снова открытак,Подарки
кафе 75,Рестораны
ОПЛАТА ФУТБОЛКА,Одежда
ПОДПИСКА СЕГОДНЯ,Подписки
лэтуаль за 45,Косметика
бананы!,Продукты
кино!,Развлечения
столовая сегондя,Рестораны
снова белка,Транспорт
спотифай,Подписки
потратил на макароны,Продукты
театр 100,Развлечения
снова заказ,Подработка
ТАБЛЕТКИ ЗА 1000,Здоровье
КУПИЛА ВЫСТАВКА,Развлечения
анализы!,Здоровье
электричество!,ЖКХ и аренда
купил тренировка,Спорт
снова театр,Развлечения
снов атеатр,Развлечения
снова квест,Развлечения
75 аэрофлот,Путешествия
ПОТРАТИЛ НА БУРГЕР,Рестораны
снова мазь,Здоровье
тулаетная бумага за 75,Хозтовары
выставка сегодня,Развлечения
снова спортпит,Спорт
губки за 990,Хозтовары
купил теннис,Спорт
фриланс!,Подработка
сыворотка за 120,Косметика
349 аренда квартиры,ЖКХ и аренда
квитанция,ЖКХ и аренда
йога за 1500,Спорт
потратил на бытовая химия,Хозтовары
домофон 349,ЖКХ и аренда
КУПИЛ ПАРФЮМ,Косметика
снова аванс,Зарплата
оплата шампунь,Косметика
счёт за свет за 1000,ЖКХ и аренда
МОБИЛЬНАЯ СВЯЗЬ!,Связь
2000 окулист,Здоровье
витамины за 45,Здоровье
купил раф,Кофейни
снова сотовая связь,Связь
зп!,Зарплата
СНОВА ТРАНСФЕР,Путешествия
45 поездка,Транспорт
СНОВА ПОЛУЧКА,Зарплата
спортзал 45,Спорт
консультация сегодня,Подработка
оплата фортепиано,Учёба
купила леруа,Хозтовары
КФАЕ,Рестораны
снова тушь,Косметика
нсова проект,Подработка
купил трамвай,Транспорт
снова вебинар,Учёба
презент за 120,Подарки
премия,Зарплата
349 леруа,Хозтовары
оплата зп,Зарплата
клиника 1000,Здоровье
потратил на паб,Развлечения
купил квартплата,ЖКХ и аренда
оплата билеты на самолёт,Путешествия
оплата отопление,ЖКХ и аренда
лэтуаль 1500,Косметика
оплата выплата зарплаты,Зарплата
45 поел,Рестораны
купила курс,Учёба
потратил н аподарки,Подарки
снова подарок другу,Подарки
купила фортепиано,Учёба
чемодан 120,Путешествия
поездка  всегодня,Путешествия
снова аэрофлот,Путешествия
ФИТНЕС ЗА 75,Спорт
1500 хлеб,Продукты
снова автобус,Транспорт
оплата хозтовары,Хозтовары
симка за 120,Связь
врач 120,Здоровье
оплата парфюм,Косметика
снова мусорные пакеты,Хозтовары
потратил на лкеция,Учёба
купила продукты,Продукты
перекрёсток сегодня,Продукты
купила золотое яблоко,Косметика
боулинг сегодня,Развлечения
оплата гастроном,Продукты
СНОВА ПЛАТЬЕ,Одежда
349 маска для лица,Косметика
купил одежда,Одежда
тройка,Транспорт
коммуналка за 990,ЖКХ и аренда
1500 консультация,Подработка
аванс за 990,Зарплата
купиал подарок,Подарки
снова аванс,Зарплата
авиабилеты!,Путешествия
снова капли,Здоровье
потратил на одежда,Одежда
укпил яндекс музыка,Подписки
ПОДРАБОТКА 2000,Подработка
снова бассейн,Спорт
учёба!,Учёба
учебник,Учёба
купил спортивные штаны,Одежда
купил подарок маме,Подарки
оплата букинг,Путешествия
купила оклад,Зарплата
ужин,Рестораны
траиф,Связь
сновам олоко,Продукты
ЛЕНТА СЕГОНДЯ,Продукты
открытка за 500,Подарки
СНОВА ЛЕКАРСТВА,Здоровье
купила подарок,Подарки
снова хостел,Путешествия
портатил на узи,Здоровье
купил аптека,Здоровье
онлайн куср!,Учёба
ХАЛТУРА,Подработка
ЛЕТУАЛЬ,Косметика
потратил на мясо,Продукты
духис егодня,Косметика
кофе с собой сегодня,Кофейни
потратил на фастфуд,Рестораны
349 макдак,Рестораны
купила бытовая химия,Хозтовары
подработка выплата!,Подработка
портатил на йога,Спорт
снова музей,Развлечения
купил фортепиано,Учёба
снова парфюм,Косметика
букигн!,Путешествия
оплата нетфликс,Подписки
пяетрочка,Продукты
КУПИЛ ИКЕА,Хозтовары
500 бронь отеля,Путешествия
летуаль за 120,Косметика
оплата есрб,Учёба
купила теннис,Спорт
КУПИЛА ПОЕЛА,Рестораны
снова симка,Связь
потратил ан окулист,Здоровье
йога!,Спорт
потратил на теле2,Связь
концерт сегодня,Развлечения
аванс!,Зарплата
ZARA!,Одежда
снова бронь отеля,Путешествия
подарок другу за 100,Подарки
ЮТУБ ПРЕМИУМ 3000,Подписки
кинопоиск 500,Подписки
опалта чемодан,Путешествия
леуталь!,Косметика
открытка сегодня,Подарки
потратил на овощи,Продукты
зраа сегодня,Одежда
оплата получка,Зарплата
100 выплата зарплаты,Зарплата
990 английский,Учёба
потратил на зп,Зарплата
купила концерт,Развлечения
РЕПЕТИТОР!,Учёба
нетфликс сегодня,Подписки
1000 рубашка,Одежда
купил парковка,Транспорт
оплата отопление,ЖКХ и аренда
КУПИЛА КОНЦЕРТ,Развлечения
купила подарок другу,Подарки
бсут за 45,Подписки
купила фитнес,Спорт
курс!,Учёба
ПОТРАТИЛ НА КВАРТПЛАТА,ЖКХ и аренда
подарок другу сегодня,Подарки
купил икеа,Хозтовары
оплата подписка на приложение,Подписки
купил учеба,Учёба
кроссовкис егодня,Одежда
губки сегодня,Хозтовары
лампочка!,Хозтовары
страховка для поездки!,Путешествия
снова белка,Транспорт
куратов!,Кофейни
снова лекарства,Здоровье
купила фастфуд,Рестораны
75 спортзал,Спорт
роллы за 349,Рестораны
зарплата!,Зарплата
оплата яндекс музыка,Подписки
снова латте,Кофейни
3000 овощи,Продукты
купил протеин,Спорт
спортзал 990,Спорт
купила аренда квартиры,ЖКХ и аренда
потратил на квитанция,ЖКХ и аренда
КНИГА ЗА 75,Учёба
макдак!,Рестораны
оклад за 1000,Зарплата
75 шариик,Подарки
снова латте,Кофейни
купила подработка,Подработка
потратил на шампунь,Косметика
подписка на приложение сегодня,Подписки
500 зраплата,Зарплата
1500 подарочная карта,Подарки
пторатил на капли,Здоровье
ТРЕНИРОВКА ЗА 349,Спорт
потратил на yota,Связь
йога сегодня,Спорт
уходовая косметика!,Косметика
хостел 205,Путешествия
купил фриланс,Подработка
снова порошок,Хозтовары
75 тариф,Связь
оплата домофон,ЖКХ и аренда
икеа,Хозтовары
летуаль!,Косметика
ГОНОРАР СЕГОДНЯ,Подработка
жильё!,Путешествия
купил аренда,ЖКХ и аренда
купила бытовая химия,Хозтовары
клуб 3000,Развлечения
свитер за 3000,Одежда
потратил на подработка,Подработка
купила автошкола,Учёба
МОБИЛЬНАЯ СВЯЗЬ,Связь
купила салфетки,Хозтовары
120 раф,Кофейни
снова авиабилеты,Путешествия
ПРИШЛА ЗАРПЛАТА!,Зарплата
медцентр 990,Здоровье
потратил на лампочка,Хозтовары
пятёрочк!а,Продукты
ШАРИКИ ЗА 100,Подарки
получка 1000,Зарплата
оклад сегодня,Зарплата
консультация!,Подработка
купил платье,Одежда
помада сегодня,Косметика
подарочная карта,Подарки
аренда квартиры!,ЖКХ и аренда
потратил на теле2,Связь
заказ!,Подработка
окулист сегодня,Здоровье
снова подписка,Подписки
спортзал за 2000,Спорт
кофта 250,Одежда
бензин!,Транспорт
250 счёт за свет,ЖКХ и аренда
мтс 500,Связь
флэт уайт 75,Кофейни
фортепиано сегодня,Учёба
ПОТРАТИЛ НА ЛАНЧ,Рестораны
оплата серб,Учёба
купила жильё,Путешествия
потратил на салфетки,Хозтовары
потратил на мазь,Здоровье
купила букинг,Путешествия
1000 паб,Развлечения
1500 врач,Здоровье
потратил на фриланс,Подработка
снова мобильная связь,Связь
КИНО 250,Развлечения
купила латте,Кофейни
мазь!,Здоровье
яндекс музыка!,Подписки
спортивные штаны 75,Одежда
снова приём врача,Здоровье
КУПИЛ КАКАО,Кофейни
купила аренда,ЖКХ и аренда
yota за 75,Связь
потратил на жкх,ЖКХ и аренда
купил музей,Развлечения
оплата леруа,Хозтовары
купил кальян,Развлечения
подработка сегодня,Подработка
купил бананы,Продукты
СНОВА ГОНОРАР,Подработка
оплата самокат,Транспорт
оплата золотое яблоко,Косметика
500 СКАЛОДРОМ,Спорт
349 фитнес,Спорт
фикс прайс за 250,Хозтовары
скуратов3 000,Кофейни
купил зара,Одежда
мобильная связь сегодня,Связь
такси за 500,Транспорт
1500 бензин,Транспорт
снова вебинар,Учёба
990 тур,Путешествия
купила секция,Спорт
пришла зарплата!,Зарплата
бургер 120,Рестораны
потратил на квест,Развлечения
стоматолог сегодня,Здоровье
бассейн!,Спорт
кофе с собой за 1000,Кофейни
купил яблоки,Продукты
купила пополнение телефона,Связь
метро сегодня,Транспорт
снова обед,Рестораны
ужин 349,Рестораны
квест!,Развлечения
самокат сегодня,Транспорт
оплата додо,Рестораны
снова вок,Рестораны
коктейль сегодня,Развлечения
букет сегодня,Подарки
010 шампунь,Косметика
купил самокат,Транспорт
пдоарки сегодня,Подарки
снова кофта,Одежда
коктейль за 990,Развлечения
онлайн курс 75,Учёба
аттракционы сегодня,Развлечения
шарики 500,Подарки
КУПИЛ ЙОГА,Спорт
сновах алтура,Подработка
счёт за свет 3000,ЖКХ и аренда
лампочка,Хозтовары
подработка выплата сегодня,Подработка
трансфер сегодня,Путешествия
купилав иза,Путешествия
100 билеты на концерт,Развлечения
купил подработка выплата,Подработка
учёба 1000,Учёба
получка сегодня,Зарплата
потратил на носки,Одежда
шаурма сегодня,Рестораны
КФС ЗА 75,Рестораны
купил подписка вк,Подписки
потратил нас отовая связь,Связь
снова кофейня,Кофейни
потратил на лента,Продукты
автошкола сегодня,Учёба
оплата яндекс такси,Транспорт
ПОТРАТИЛ НА ПИЦЦА,Рестораны
купил фриланс,Подработка
купила бизнес ланч,Рестораны
тариф,Связь
снов атренер,Спорт
купила аванс,Зарплата
электричка сегодня,Транспорт
ПОТРАТИЛ НА ЮТУБ ПРЕМИУМ,Подписки
купила симка,Связь
подарок!,Подарки
120 симка,Связь
2000 гастроном,Продукты
кофе  ссобой за 250,Кофейни
ПОТРАТИЛ НА УЧЕБНИК,Учёба
счёт за свет!,ЖКХ и аренда
отопление сегодня,ЖКХ и аренда
тушь сеогдня,Косметика
ПОДПИСАК,Подписки
потратил на флэт уайт,Кофейни
оплата носки,Одежда
оплата свитер,Одежда
учёба 500,Учёба
кафе 3000,Рестораны
купила кальян,Развлечения
духи 500,Косметика
снова театр,Развлечения
2000 подарочная карта,Подарки
купила крем,Косметика
снова таблетки,Здоровье
45 пятёрочка,Продукты
МУСОРНЫЕ ПАКЕТЫ,Хозтовары
1000 жкх,ЖКХ и аренда
купил спортпит,Спорт
нетфликс 120,Подписки
такси!,Транспорт
склаодром 250,Спорт
АВАНС ЗА 45,Зарплата
2000 подарок,Подарки
бассейн!,Спорт
КВИТАНЦИЯ,ЖКХ и аренда
купила тройка,Транспорт
бургер за 500,Рестораны
СНОВА КОКТЕЙЛЬ,Развлечения
купила получка,Зарплата
золотое яблоко 1500,Косметика
ИКЕА СЕГОДНЯ,Хозтовары
оплата косметика,Косметика
ланч 349,Рестораны
купил домофон,ЖКХ и аренда
купила стенадп,Развлечения
потратил на нетфликс,Подписки
скалодром сегодня,Спорт
потратил на чемодан,Путешествия
2000 квитанция,ЖКХ и аренда
купил заказ,Подработка
снова оклад,Зарплата
оплата гастроном,Продукты
трамвай 2000,Транспорт
снова рубашка,Одежда
купил подписка,Подписки
купил бизнес ланч,Рестораны
парфюм 1000,Косметика
сыворотка!,Косметика
спортпит 120,Спорт
квитанция за 45,ЖКХ и аренда
потратил на автобус,Транспорт
кфс!,Рестораны
убер за 349,Транспорт
купил лента,Продукты
купил трамвай,Транспорт
снова спотифай,Подписки
КУПИЛ КОФЕ,Кофейни
оплата спортзал,Спорт
120 ютуб премиум,Подписки
носки,Одежда
стендпа!,Развлечения
столовая сегодня,Рестораны
потратил на виза,Путешествия
потртаил на кальян,Развлечения
купила капли,Здоровье
потратил на абонемент,Спорт
потратил на ашан,Продукты
купил футболка,Одежда
поела за 57,Рестораны
УЧЕБНИК!,Учёба
КУПИЛ ПОДАРКИ,Подарки
купила аптека,Здоровье
2000 ПАРКОВКА,Транспорт
оплата врач,Здоровье
100 ЛЕРУА,Хозтовары
додо за 1500,Рестораны
купила консультация,Подработка
консультация!,Подработка
ПОЕЛ 500,Рестораны
оплатас ерб,Учёба
потратил на вода счёт,ЖКХ и аренда
бытовая химия,Хозтовары
500 учеба,Учёба
снова яндекс музыка,Подписки
купила книга,Учёба
лтэуаль!,Косметика
оплата уходовая косметика,Косметика
пятёрочка,Продукты
потратил на какао,Кофейни
яндекс плюс 2000,Подписки
средство для мытья!,Хозтовары
2000 бизнес ланч,Рестораны
шампунь 1000,Косметика
1500 тренировка,Спорт
потратил на сыр,Продукты
купил фортепиано,Учёба
КУПИЛ КОФЕ НА ВЫНОС,Кофейни
СНОВА ПОПОЛНЕНИЕ ТЕЛЕФОНА,Связь
120 суши,Рестораны
супермаркет!,Продукты
открытка!,Подарки
250 каршеринг,Транспорт
потратил на проезд,Транспорт
купила спортивные штаны,Одежда
купила летуаль,Косметика
купил штаны,Одежда
подарок маме,Подарки
купила зп,Зарплата
потратил на счёт за свет,ЖКХ и аренда
ПОДАРОК МАМЕ!,Подарки
премия,Зарплата
потратил на букет,Подарки
оплата билеты на концерт,Развлечения
отопление сегодня,ЖКХ и аренда
3000 ЗОЛОТОЕ ЯБЛОКО,Косметика
оплата счёт за свет,ЖКХ и аренда
купила бытовая хмиия,Хозтовары
яблоки,Продукты
книга сегодня,Учёба
СНОВА МЕТРО,Транспорт
фитнес сегодня,Спорт
купила сёчт за свет,ЖКХ и аренда
иви за 120,Подписки
оплат акфс,Рестораны
купила яблоки,Продукты
100 ютуб премиум,Подписки
РЕПЕТИТОР СЕГОДНЯ,Учёба
потратил на аренда квартиры,ЖКХ и аренда
икеа 500,Хозтовары
аренда сегодня,ЖКХ и аренда
tsorage icloud 75,Подписки
потратил на подарки,Подарки
2000 бензин,Транспорт
АПТЕКА СЕГОДНЯ,Здоровье
фортепиано сегодня,Учёба
фриланс сегдоня,Подработка
ОПЛАТА УБЕР,Транспорт
КАФЕ,Рестораны
потратил на приём врача,Здоровье
потратил на витамины,Здоровье
потратил наб ронь отеля,Путешествия
оплата старбакс,Кофейни
учеба 1000,Учёба
ВИЗА 349,Путешествия
шампунь за 205,Косметика
куратов за 2000,Кофейни
пицца!,Рестораны
купил шаурма,Рестораны
снова метро,Транспорт
духи 250,Косметика
аренда квартиры,ЖКХ и аренда
укпила кинопоиск,Подписки
обед сгеодня,Рестораны
учеба!,Учёба
купила подписка на приложение,Подписки
оплата пятерочка,Продукты
990 яблоки,Продукты
шоколадница 1000,Кофейни
ОПЛАТА ВЫСТАВКА,Развлечения
купила подарки,Подарки
оплата репетитор,Учёба
кальян за 75,Развлечения
обувь,Одежда
хостел,Путешествия
потратил на подарочная карта,Подарки
подработка,Подработка
заправка,Транспорт
снова мецдентр,Здоровье
990 врач,Здоровье
снова врач,Здоровье
купила вкусно и точка,Рестораны
платье!,Одежда
оплата обед,Рестораны
жкх 100,ЖКХ и аренда
электричка!,Транспорт
отель сегодня,Путешествия
КУПИЛА ТРАНСФЕР,Путешествия
потратил на вебинар,Учёба
снова концерт,Развлечения
купила фортепиано,Учёба
ашан 2000,Продукты
оплата врач,Здоровье
роллы!,Рестораны
купилб ельё,Одежда
электричка за 3000,Транспорт
КУПИЛ БАР,Развлечения
снова столоавя,Рестораны
купила связь,Связь
косметика!,Косметика
купил учебник,Учёба
потратил на сшуи,Рестораны
ОПЛАТА МАССАЖ,Здоровье
открытка,Подарки
пятерочка,Продукты
выставка за 1000,Развлечения
ланч!,Рестораны
делимобиль 250,Транспорт
2000 презент,Подарки
КУПИЛ ОКУЛИСТ,Здоровье
349 зп,Зарплата
потратил на свитер,Одежда
250 тур,Путешествия
потратил на косметика,Косметика
парфюм!,Косметика
3000 вок,Рестораны
купила мегафон,Связь
футболка за 349,Одежда
снова убер,Транспорт
нсова шампунь,Косметика
купил капучино,Кофейни
купила подписка на приложение,Подписки
потратил на аренда,ЖКХ и аренда
купил спортзал,Спорт
духи 100,Косметика
купил бытовая химия,Хозтовары
гбуки!,Хозтовары
купил симка,Связь
снова молоко,Продукты
фриланс за 349,Подработка
купил массаж,Здоровье
купил шампунь,Косметика
снова зарплата,Зарплата
купил лампочка,Хозтовары
1000 мобильная связь,Связь
укпила подработка выплата,Подработка
оплата бензин,Транспорт
подарки,Подарки
кофе с собой сегодня,Кофейни
купил обувь,Одежда
оплата споитфай,Подписки
купила тренер,Спорт
бельё 100,Одежда
оплата джинсы,Одежда
аптека 75,Здоровье
выплата зарплаты!,Зарплата
снова отель,Путешествия
купил лэтуаль,Косметика
сотовая связь сегодня,Связь
250 каляьн,Развлечения
оплата уходовая косметика,Косметика
убер 45,Транспорт
оплата аренда квартиры,ЖКХ и аренда
купила тренировка,Спорт
купил боулинг,Развлечения
трансфер сегодня,Путешествия
купила обуьв,Одежда
букет за 990,Подарки
оплата средство для мытья,Хозтовары
сотовая связь сегодня,Связь
купил окулист,Здоровье
3000 онлайн курс,Учёба
букинг сегодня,Путешествия
курс за 45,Учёба
купил платье,Одежда
подарочная карта сегодня,Подарки
купил шампуьн,Косметика
оплата порошок,Хозтовары
потратил на фикс прайс,Хозтовары
1000б ытовая химия,Хозтовары
оплата выплата зарплаты,Зарплата
иви,Подписки
подписка за 45,Подписки
купил вебинар,Учёба
духи сегодня,Косметика
стакан кофе сегодня,Кофейни
кофейня!,Кофейни
потратил на билеты на концерт,Развлечения
лекция за 500,Учёба
потратил на пятёрочка,Продукты
зп сегодня,Зарплата
концерт 45,Развлечения
коктейль 250,Развлечения
средство для мытья сегодня,Хозтовары
кальян!,Развлечения
ЯНДЕКС ПЛЮС!,Подписки
уходовая косметика 990,Косметика
проект сегодня,Подработка
фортепиано сегодня,Учёба
ЛЭТУАЛЬ!,Косметика
тариф 1000,Связь
1500 подарок маме,Подарки
оплата симка,Связь
75 обед,Рестораны
потратил на квест,Развлечения
оплата крем,Косметика
купил страховка для пеоздки,Путешествия
купила поездка,Транспорт
квест 500,Развлечения
снова электричество,ЖКХ и аренда
снова носки,Одежда
олпата отопление,ЖКХ и аренда
1500 чемодан,Путешествия
оплата бассейн,Спорт
оплата серб,Учёба
купил флэт уайт,Кофейни
купила проект,Подработка
медцентр 100,Здоровье
кино сегодня,Развлечения
купила спортпит,Спорт
ОПЛАТА КФС,Рестораны
бытовая химия,Хозтовары
оплата теннис,Спорт
купил стакан кофе,Кофейни
оплата секция,Спорт
купила занятие,Учёба
купил зарплата,Зарплата
storage icloud,Подписки
подписка вк за 990,Подписки
оплатаб ананы,Продукты
тренер!,Спорт
купил подписка вк,Подписки
349 аванс,Зарплата
фортепиано за 250,Учёба
купил кофе на вынос,Кофейни
мадкак 3000,Рестораны
онлайн курс,Учёба
репетиторство доход!,Подработка
клиника 990,Здоровье
снова теле2,Связь
оплата поездка в,Путешествия
мусорные пакеты за 250,Хозтовары
купила парфюм,Косметика
потратил на обед,Рестораны
2000 учёба,Учёба
одежда 3000,Одежда
кино!,Развлечения
оплата тариф,Связь
купил роллы,Рестораны
анализы 1500,Здоровье
СНОВА YOTA,Связь
ресторан,Рестораны
подарочная карта!,Подарки
купила ресторан,Рестораны
потратил на спортивные штаны,Одежда
купилап оездка,Транспорт
роллы!,Рестораны
снова яндекс такси,Транспорт
букет!,Подарки
связь за 2000,Связь
снова беьлё,Одежда
купил коммуналка,ЖКХ и аренда
ПОТРАТИЛ НА ОНЛАЙН КУРС,Учёба
купила лекарства,Здоровье
мтс сегодня,Связь
купила шампунь,Косметика
свитер!,Одежда
ОТОПЛЕНИЕ 349,ЖКХ и аренда
боулинг сегодня,Развлечения
оплата фикс прайс,Хозтовары
снова трамвай,Транспорт
скалодром за 100,Спорт
ВИТАМИНЫ,Здоровье
1000 фортепиано,Учёба
купила яндекс такси,Транспорт
футболка,Одежда
потратил на yota,Связь
оплата подарок другу,Подарки
снова супермаркет,Продукты
занятие 45,Учёба
ПОТРАТИЛ НА КАПЛИ,Здоровье
алмпочка за 45,Хозтовары
оплата мазь,Здоровье
виза сегодня,Путешествия
АПТЕКА,Здоровье
снова пришла зарплата,Зарплата
купил косметиак,Косметика
КУПИЛ КРЕМ,Косметика
оплата zara,Одежда
СПОТИФАЙ,Подписки
купила тур,Путешествия
1500 раф,Кофейни
3000 ланч,Рестораны
свитер,Одежда
билайн 120,Связь
зарплата сегодня,Зарплата
спортивные штаны,Одежда
ПОТРАТИЛ НА ЯЙЦА,Продукты
КОНСУЛЬТАЦИЯ,Подработка
500 футболка,Одежда
зп 250,Зарплата
оплата сыворотка,Косметика
купил хостел,Путешествия
купила рпемия,Зарплата
